topik,jawaban
Keuangan - Cara Daftar Bantuan Kemendikbud Ristek,"Berikut link pengisian Permohonan Bantuan UKT KEMDIKBUDRISTEK Semester Ganjil 2021/2022 https://bit.ly/BantUKTKemdikbudUBGanjil2021https://bit.ly/BantUKTKemdikbudUBGanjil2021 Adapun batas waktu pengisian link tersebut sampai 15 Agustus 2021, pukul 23.59 WIB."
Keuangan - Bantuan Kemendikbud tidak terverifikasi,"Sebagai informasi dari Kemahasiswaan Universitas, Bagi mahasiswa yang mendapat Bantuan Kemendikbud pada semester Ganjil 2020/2021 namun Melakukan Cuti Akademik Pada Semester Genap 2020/2021, maka Bantuan Kemendikbud tsb tidak diberikan pada yang bersangkutan. Apabila kurang jelas dapat menghubungi Kemahasiswaan Universitas."
Keuangan - Tagihan UKT POtongan 50% Muncul Kembali,Tagihan Potongan 50% Mahasiswa Tingkat akhir yang muncul kembali merupakan tagihan yang akan dihapuskan setelah proses verifikasi dari Universitas jika anda memenuhi semua kriteria yang diberikan. Silahkan cek SIAM anda secara berkala. 
Keuangan - Sisa tagihan 50%,"Tagihan yang tertera pada SIAM saat ini merupakan sisa tagihan Bantuan Potongan 50%, Proses Verifikasi oleh Universitas terkait Bantuan Potongan 50% masih berjalan sampai saat ini, apabila hasil Verifikasi sdra memenuhi Persyaratan Bantuan Potongan 50% maka tagihan tsb akan dihapuskan oleh Universitas. mohon update SIAM secara berkala dan akses informasi penting terkait Bantuan Potongan 50% yang telah tersebar luas."
Keuangan - Angsur SAP,1. Untuk Angsuran SPP/UKT dapat diangsur sebanyak 2x dalam jangka waktu 1 Semester (Ganjil 2021/2020) 2. Untuk Angsuran SPFP dapat diangsur sebanyak 3x dalam jangka waktu 1 Semester (Ganjil 2021/2020)
Kemahasiswaan - KTM Tersedia,"KTM Anda sudah tersedia, silahkan diambil pada hari dan jam kerja di bagian informasi gedung F lantai 1 FILKOM UB. Terima kasih "
Kemahasiswaan- pengajuan ST Dospem dan Reward Prestasi,Bisa diajukan melalui tautan berikut https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/ poin 3 layanan pengajuan reward prestasi.  Harap menyertakan dokumen pendukung sebagai berikut:- form pengajuan reward dari universitas yang sudah diisi (termasuk cantumkan nama dosen pembimbingnya)- sertifikat- ktm- proposal karya (jika ada)- screenshot/ foto saat acara lomba atau pengumuman pemenang Terima kasih
Kemahasiswaan - KIP Kuliah,"Sampai saat ini belum ada informasi terkait hal tersebut. Merujuk dari website resmi KIP-K diinformasikan bahwa Saat ini KIP-Kuliah dikhususkan untuk calon mahasiswa/lulusan SMA sederajat tahun berjalan atau lulus dua tahun sebelunya. Untuk informasi lebih lanjut tentang KIP-K dapat diakses di tautan berikut https://kip-kuliah.kemdikbud.go.id/panduanhttps://kip-kuliah.kemdikbud.go.id/panduan. Harap follow media sosial FILKOM (IG:filkom ub), (Twitter:filkomUB) untuk mendapat update informasi terbaru tentang FILKOM UB. Terima kasih."
Kemahasiswaan - Verifikasi SKM,Untuk dapat diverifikasi silahkan melakukan pengajuan melalui tautan berikut https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/ Terima kasih
Akademik_NIP Khajur KPS TIF,"Terimakasih telah menghubungi halo filkom,NIP KPS TIF 198907202018031002 NIP Khajur TIF 197411182003121002 Terima Kasih"
Kemahasiswaan - Rekomendasi magang mandiri dan MBKM,Baik untuk surat rekomendasi magang bisa mengajukan ke bagian MBKM melalui tautan berikut https://s.ub.ac.id/2nhttps://s.ub.ac.id/2n dan menghubungi ibu Nesti staf MBKM di nomor 081132007588.  Terima kasih
Kemahasiswaan - Pengajuan ST Dosen Pembimbing Lomba,"Jika sudah terlanjur tidak memiliki dosen pembimbing saat lomba, bisa pengajuan ke kemahasiswaan melalui email kemahasiswaan dengan melampirkan dokumen pendukung sbb:1. KTM ketua dan anggota2. sertifikat 3. proposal karya (jika ada)4. dokumentasi saat lomba (foto/screenshot saat lomba/saat serah terima penghargaan) Tapi harap disampaikan untuk selanjutnya saat mengikuti lomba bisa mencari dosen pembimbing terlebih dahulu. Terima kasih "
Kemahasiswaan - Rekomendasi Magang dan MBKM,Sehubungan dengan pengajuan surat rekomendasi/pengantar magang saat ini sudah ditandatangani oleh bagian Merdeka Belajar - Kampus Merdeka (MBKM).  Cara pengajuan nya dengan mengisi permohonan surat rekomendasi di https://s.ub.ac.id/2nhttps://s.ub.ac.id/2n dan menghubungi ibu Nesti staf MBKM di nomor 081132007588. Saat ini bagian kemahasiswaan hanya menangani surat pengantar/rekomendasi beasiswa dan lomba.  Terima kasih 
Akademik : Presensi Perkuliahan,"Terima kasih telah menghubungi Halo Filkom,Terkait presensi perkuliahan tidak hadir (sakit,ijin,kep lain ) bisa menghubungi bagian pengajaran Filkom : Bapak Redi (085646667788)/ Bapak David ( 082143159727) dengan melampirkan :- Surat izin tidak masuk dari mahasiswa- Surat keterangan tambahan misal : surat dokter, surat kegiatan resmi kemahasiswaan, dll Hari kerja aktif (Senin sd Jumat) Pukul 08:00 s/d 15:00"
Akademik : Pengambilan Sertifikat TOEFL,"Terimakasih telah menghubungi halo filkom, untuk informasi pengambilan sertifikat toefl bisa akses link berikut : https://filkom.ub.ac.id/2020/07/22/informasi-pengambilan-sertifikat-toefl/"" target=""_blankhttps://filkom.ub.ac.id/2020/07/22/informasi-pengambilan-sertifikat-toefl/ Terima Kasih"
Akademik : Surat Pengantar Penelitian Skripsi,"Terimakasih telah menghubungi halo filkom,Pembuatan Surat Pengantar Penelitian Skripsi bisa akses link berikut : https://bit.ly/SuratPengantarPengambilanDataSkripsiTesisFilkom"" target=""_blankhttps://bit.ly/SuratPengantarPengambilanDataSkripsiTesisFilkomTerima Kasih"
Akademik : Surat Aktif Kuliah,"Terimakasih telah menghubungi halo filkom,Untuk pengajuan Surat Aktif Kuliah bisa mengakses link berikut : https://bit.ly/SuratAktifKuliahFilkom"" target=""_blank https://bit.ly/Surat Aktif Kuliah Filkom Terima Kasih"
Akademik : Perihal Kehilangan Transkrip Nilai Kuliah,"Berikut proses yang diperlukan mahasiswa jika kehilangan transkrip nilai kuliah : 1. Membuat surat permohonan kepada wakil dekan bidang akademik filkom perihal Surat Keterangan Pengganti Transkrip Nilai. Surat kehilangan dari pihak kepolisian 3. Scan transkrip nilai 4. Softfile foto 3x4 dengan resolusi tinggi (harus sama seperti yang tertempel di ijazah/transkrip)5. Point 1 sampai 4 dikirim dalam format pdf ke email : mailto:akademik filkom@ub.ac.id"" target=""_blank akademik filkom@ub.ac.id Terima Kasih"
Akademik : Layanan Akademik,"Terimakasih telah menghubungi halo filkom,Berikut kami kirimkan link layanan akademik FILKOM UB https://filkom.ub.ac.id/pendidikan/layanan-akademik-filkom-ub/"" target=""_blank https://filkom.ub.ac.id/pendidikan/layanan-akademik-filkom-ub/ Terimakasih"
Akademik Proposal Skripsi di luar Jadwal (J-TIF),"Terimakasih telah menghubungi halo filkom,Pengajuan proposal skripsi di luar jadwal yang ada pada filkom apps pada lingkungan JTIF (TIF dan Telkom), mahasiswa bisa mengajukan pembukaan akses terbatas kepada dosen pembimbing dengan baik dan sopan agar bisa diteruskan oleh dosen pembimbing kepada Ketua Jurusan TIF Terimakasih"
Akademik_Peminjaman Fasilitas Lab,"Terimakasih telah menghubungi halo filkom,Bagi mahasiswa yang mengajukan peminjaman fasilitas Lab bisa mengajukan kepada KaLab dengan persetujuan dosen pembimbing. Terimakasih"
Akademik Konversi MK perpindahan prodi,"Terimakasih telah menghubungi halo filkom,Sesuai arahan dari pimpinan JTIF, MK wajib dengan kode yang berbeda maka secara otomatis konten nya berbeda, maka mahasiswa tetap menempuh MK wajib tersebut sebagai konsekuensi perpindahan prodi Terimakasih"
Akademik_Foto Yudisium SC2-18,"Terima Kasih telah menghubungi halo filkom, - setelah upload foto &amp; KTM pada folder drive, mahasiswa diharapkan tetap mengumpulkan pada filkom lt 1 dg memberikan konfirmasi kepada WA center Yudisium- progres yudisium view_mhs FILKOM bisa dilihat pada :https://docs.google.com/spreadsheets/d/1nWPCbAI-rnqGNcyLXf8BDk2p5wFHZicmNyjc4ELNCWM/edit?resourcekey&amp;pli=1#gid=1724341464"" target=""_blankhttps://docs.google.com/spreadsheets/d/1nWPCbAI-rnqGNcyLXf8BDk2p5wFHZicmNyjc4ELNCWM/edit?resourcekey&amp;pli=1#gid=1724341464 Pengajuan yudisium FILKOM : https://docs.google.com/forms/d/18TAxwwMnGuyOrPkDFUz_aopslsVIfKw7vaoCmiMtdQs/viewform?edit_requested=true"" target=""_blankhttps://docs.google.com/forms/d/18TAxwwMnGuyOrPkDFUz_aopslsVIfKw7vaoCmiMtdQs/viewform?edit_requested=true Terimakasih"
Akademik_Kontak HP Daring KPS TIF & Tekom,"Terimakasih telah menghubungi halo filkom,Berikut kami sampaikan no HP Daring KPS pada lingkungan JTIF ;KPS TIF ; 082232641423 (Aditya Bhawiyuga)KPS Telkom ;  085608568510 (Eko Setiawan) Terimakasih"
Akademik Pembatalan MK PKL/ Skripsi,"Terimakasih telah menghubungi halo filkom,Mahasiswa yang tidak jadi menempuh MK PKL ataupun Skripsi pada SIAM, mahasiswa tetap diperkenankan dengan syarat tidak ada aktivitas PKL/ Skripsi pada semester berjalan (Filkom apps/ skripsi dan PKL) Terimakasih"
Akademik Syarat Menempuh MK Lintas Prodi,"Terimakasih telah menghubungi halo filkom, Mahasiswa diijinkan mengambil MK lintas prodi selama dibuka oleh prodi lain (terutama MKU), kebetulan MK kewarganegaraan dibuka maka mhs dipersilahkan mengambil KRS MK tsb pada saat KRS-an ataupun batal tambah (jika terlambat KRS-an)Terimakasih"
Akademik Perpindahan Prodi Akreditasi B ke A,"Terimakasih telah menghubungi halo filkom,Menyampaikan jawaban dari KPS prodi Sistem Informasi Filkom UB, bahwa mhs ybs tidak diperkenankan melakukan perpindahan prodi ke Sistem Informasi. Perihal yang menyebabkan tidak disetujuinya mhs dalam perpindahan prodi sesuai keterangan pada poin 4 hal 29 Buku Pedoman Akademik FILKOM UB.Berikut kami lampirkan link Buku Pedoman Akademik FILKOM UB terkait Perpindahan Prodi (hal 29) : https://filkom.ub.ac.id/profil/dokumen-resmi/"" target=""_blank Dokumen Resmi » Fakultas Ilmu Komputer | Universitas Brawijaya (ub.ac.id) Terimakasih"
Akademik Perubahan Judul Skripsi Filkom Apps,"Terimakasih telah menghubungi halo filkom,Perubahan judul skripsi pada filkom apps bisa diubah selama belum P2 oleh dosen pembimbing, setelah proses P2 mahasiswa tetap bisa merubah judul pada filkom apps pada saat mendaftar semhas skripsi dan upload dokumen akhir pasca Ujian Skripsi Terimakasih"
Akademik : Alur Get NIM Mahasiswa FILKOM UB,"Terimakasih telah menghubungi halo filkom,Masuk ke info pin (https://siam.ub.ac.id/getpin.php"" target=""_blankhttps://siam.ub.ac.id/getpin.php) Masukkan nomor kode pendaftaran pada kolom Nomor Peserta Ujian Masuk dan masukkan tanggal pembayaran, kemudian selesaikan pertanyaan penjumlahan matematis di bawahnya, kemudian klik cari Akan muncul data peserta dan PIN untuk login ke siam Kembali ke https://siam.ub.ac.id/"" target=""_blankhttps://siam.ub.ac.id/ Gunakan nomor kode pendaftaran di kolom NIM dan PIN di kolom kata sandi, dan klik Masuk Setelah login, Anda akan mendapatkan nomor NIM dan password, namun password ini harus diaktifkan dulu sebelum digunakan Masuk ke https://bais.ub.ac.id/"" target=""_blankhttps://bais.ub.ac.id, gunakan nomor NIM dan password yang baru Anda dapatkan Akan muncul kolom-kolom isian untuk aktivasi, isikan email Anda yang biasa digunakan, dan isikan password baru yang bisa Anda ingat, kemudian klik simpan Setelah selesai, logout dari https://bais.ub.ac.id/"" target=""_blankhttps://bais.ub.ac.id Kembali ke https://siam.ub.ac.id/"" target=""_blankhttps://siam.ub.ac.id Gunakan nomor NIM dan password yang baru Anda isikan di BAIS untuk masuk ke SIAM Harap simpan baik-baik NIM dan password tersebut karena Anda akan terus menggunakannya. Terimakasih"
Akademik_Prosedur Buka Blokir telat pembayaran & Pengajuan Validasi di luar jadwal,"Terimakasih telah menghubungi halo filkom,1. berikut kami kirimkan link prosedur buka blokir terlambat pembayaran poin Bhttps://filkom.ub.ac.id/2020/08/18/prosedur-daftar-ulang-mahasiswa-dengan-evaluasi-studi-dan-terlambat-melaksanakan-pembayaran-filkom-ub/"" target=""_blankProsedur Daftar Ulang Mahasiswa dengan Evaluasi Studi dan Terlambat Melaksanakan Pembayaran FILKOM UB » Fakultas Ilmu Komputer | Universitas Brawijaya 2. Berikut kami lampirkan link pengumuman pengajuan validasi dikarenakan terlambat (per 20 Agustus 2021) :https://filkom.ub.ac.id/2021/08/21/pengajuan-validasi-untuk-krs-dengan-status-belum-disetujui/"" target=""_blankhttps://filkom.ub.ac.id/2021/08/21/pengajuan-validasi-untuk-krs-dengan-status-belum-disetujui/ Mhs tetap mengisi form yg mana ada ttd dosen PA sesuai Form Terimakasih"
Akademik Penambahan SKS melebihi batas maksimum MK dari IP Beban (JTIF),"Terimakasih telah menghubungi halo filkom,Berdasar arahan Kaprodi TIF, untuk pengajuan penambahan SKS di luar batas IP Beban adalah Dosen PA menyampaikan kepada KPS.Tugas mahasiswa menginfokan kepada Dosen PA dengan baik dan sopan. Terimakasih"
Akademik Validasi dosen PA pada KRS SIAM mahasiswa (masih dalam jadwal),"Terimakasih telah menghubungi halo filkom,MK .... sudah kami masukkan ke SIAM mhs, untuk validasi dosen PA wajib mengajukan sesuai pengumuman pada web filkom https://filkom.ub.ac.id/2021/08/21/pengajuan-validasi-untuk-krs-dengan-status-belum-disetujui/"" target=""_blank Pengajuan validasi untuk KRS dengan status belum disetujui » Fakultas Ilmu Komputer | Universitas Brawijaya (ub.ac.id) Terimakasih"
Akademik Proses sertifikasi IT belum ada jawaban,"Terimakasih telah menghubungi halo filkom,Untuk isu seperti di atas bisa mengisi pada Halo SELMA UB jika pada link sertifikasi IT (https://sertifikasi.ub.ac.id/"" target=""_blankhttps://sertifikasi.ub.ac.id/) belum menemukan jawaban. Terimakasih"
Akademik Prasyarat perpindahan stream/ keminatan,"Terimakasih telah menghubungi halo filkom,Sesuai arahan KPS TIF, ""Tidak ada prosedur untuk berpindah stream/keminatan asalkan mampu mengerjakan skripsi sesuai dengan kelayakan dan kecukupan. Silakan bisa kontak ke calon dosen pembimbing di keminatan baru. Terimakasih"
Akademik Pengajuan proposal skripsi di luar jadwal (JTIF),"Terimakasih telah menghubungi halo filkom,Sesuai arahan Kajur TIF, Mahasiswa bisa melakukan pengajuan mandiri melalui dosen pembimbing agar bisa tersampaikan kepada Kajur Terimakasih"
Akademik Dosen Pembimbing Ujian Skripsi tidak hadir salah satu,"Terimakasih telah menghubungi halo filkom,Untuk pelaksanaan Ujian Skripsi tetap bisa dilaksanakan hanya dengan salah satu dosen pembimbing, tetapi kedua dosen penguji wajib hadir. Bagi dosen pembimbing yg tidak hadir masih tetap bisa mengisi penilaian pada filkom apps. Terimakasih"
Akademik Pengajuan Pra-Proposal terkendala,"Terimakasih telah menghubungi halo filkom,Sesuai arahan pimpinan JTIF, mahasiswa tetap bisa mengajukan pra proposal skripsi (melalui akun yg gagal sebelumnya) dan proposal (mhs mengajukan ke pembimbing agar pembimbing bisa mengajukan kepada ketua jurusan) Terimakasih"
"Akademik_Tombol ""revisi proposal"" skripsi pada filkom apps","Terimakasih telah menghubungi halo filkom,Silahkan tekan tombol ""lakukan revisi"" warna merah dan ikuti petunjuk berikutnya untuk upload revisi Terimakasih"
Akademik : Kuota Paket Data,"Proses pendaftaran mahasiswa baru/ lama  ke PD DIKTI masih berjalan dan tidak otomatis semua terinput di Sistem sehingga nomor Saudara masih belum mendapat paket Data pada bulan September dan Oktober ini, Kami akan pastikan data saudara terupdate di PD DIKTI sebagai dasar mendapatkan Paket Data pada bulan berikutnya. Terimakasih"
Akademik : SKL & Transkrip,"Terimakasih telah menghubungi halo filkom,Untuk SKL bisa menghubungi WA center Yudisium (081132007577), untuk transkrip bisa input di link berikut : https://bit.ly/TranskripNilaiFilkom"" target=""_blankhttps://bit.ly/Transkrip Nilai Filkom (untuk transkrip sementara selama pandemi covid kami kirim melalui email) Terima Kasih"
Akademik : Transkrip final validasi rektor dan dekan,"Terimakasih telah menghubungi halo filkom,Transkrip Final yang sudah divalidasi rektor dan dekan bisa didapatkan setelah wisuda Terimakasih"
Akademik Sertifikasi IT,"Terimakasih telah menghubungi halo filkom,Informasi sertifikasi IT bisa cek pada laman yang disediakan https://sertifikasi.ub.ac.id/https://sertifikasi.ub.ac.id/ Terimakasih"
Akademik ; Pengambilan Ijazah Non Prosesi,"Selamat Pagi, untuk pengambilan hari Senin - Jumat pukul 14.00-15.00 Bisa input d'link berikut : https://bit.ly/Pengambilan_Ijazah_Filkom"" target=""_blank http://bit.ly/Pengambilan Ijazah Filkom Terima kasih"
"Akademik ; Pengajuan Transkrip (keperluan beasiswa, mhs DO, semhas validasi KPS, dll)","Selamat Pagi, bisa akses link berikut : https://bit.ly/TranskripNilaiFilkom"" target=""_blank http://bit.ly/Transkrip Nilai Fikom Terima Kasih"
Akademik Pengajuan transkrip validasi KPS - JTIF,"Terimakasih telah menghubungi halo filkom,Berikut kami kirimkan link layanan akademik FILKOM UB (JTIF ada pada kolom poin no 13 sebelah kanan)https://filkom.ub.ac.id/pendidikan/layanan-akademik/https://filkom.ub.ac.id/pendidikan/layanan-akademik/ <span style=""color:rgb(0, 0, 0)1 permintaan Link transkrip awal (no 13)2 transkrip no 1 dikirimkan ke link berikutnya pada poin yg sama (no 13)</span> <span style=""color:rgb(0, 0, 0)Terima Kasih</span>"
Akademik ; Layanan Ruang Baca Filkom UB,"Mohon maaf, ruang baca filkom belum bisa melayani secara online. Untuk sementara waktu hanya bisa memberikan opacnya saja melalui : http://10.34.15.14/slims7_cendana/http://10.34.15.14/slims7_cendana/ Catatan :- wajib menggunakan VPN jika diakses di luar UB- kalau Mahasiswa berada di malang, jam operasional layanan Ruang Baca pkl 8.30 sd 15.00- akan tetapi jika tidak di malang dan memerlukan sumber data bisa melakukan pesanan ke petugas, bisa melalui kontak WA di bawah ini :bp Syaifudin : 081555850538bp Pranoe T : 082232834561 terimakasih."
Akademik_Turnitin (prasyarat s.d melihat hasil turnitin),"Terimakasih telah menghubungi halo filkom,Berikut kami kirimkan link terkait prasyarat pengecekan plagiasi turnitin Filkom UB :https://filkom.ub.ac.id/2019/02/01/panduan-pemeriksaan-plagiasi-file-skripsi/https://filkom.ub.ac.id/2019/02/01/panduan-pemeriksaan-plagiasi-file-skripsi/ Terimakasih"
Akademik ; Transkrip legalisir,"Terimakasih telah menghubungi halo filkom,Jika sudah wisuda : https://bit.ly/LegalisirFilkom"" target=""_blank https://bit.ly/Legalisir Filkom jika belum wisuda maka silahkan akses link berkut : https://bit.ly/TranskripNilaiFilkom"" target=""_blank http://bit.ly/Transkrip Nilai Fikom Terima kasih"
Akademik Persyaratan Semhas & Ujian Skripsi Filkom,"Terimakasih telah menghubungi halo filkom,Persyaratan Semhas dan Ujian Skripsi :1 Mendaftar pada filkom apps 2 Mengisi Form kelengkapan pengajuan semhas (no 15 : https://filkom.ub.ac.id/pendidikan/layanan-akademik/https://filkom.ub.ac.id/pendidikan/layanan-akademik/) Terimakasih"
Akademik Ujian Khusus Filkom UB,"Terimakasih telah menghubungi halo filkom,Berikut kami kirimkan link pengajuan Ujian Khusus Filkom UB, jika ditolak oleh KPS akan kami infokan melalui email mahasiswa https://s.ub.ac.id/ujiankhususfilkomubhttps://s.ub.ac.id/ujiankhususfilkomub Terimakasih "
Akademik; Tidak bisa masuk link UAS,"Terimakasih telah menghubungi halo filkom,Sesuai arahan dari PSIK ;- kapan pun sebenarnya masih bisa- akun google dan email pastikan menggunakan UB (student)- tidak dianjurkan utk ketik manual, diutamakan copas dari data studio- pastikan tidak ada spasi yg masuk- untuk efisiensi dan efektivitas kegiatan UAS, jika ada kendala lagi terkait join UAS bisa disampaikan ke zoom Posko sesuai pengumuman pada web melalui pengawas UAS Untuk memastikan bisa diberi contoh dari username dan contoh kelas serta enrol yg mau dimasukkan Terimakasih"
Akademik ; Foto Yudisium,"Terimakasih telah menghubungi halo filkom,Pendaftaran yudisium per 29 10 2021 sudah melalui filkom apps, untuk detail foto bisa melihat deskripsi pada pengajuan/ daftar yudisium pada akun filkom apps masing2 :1. Background foto wajib biru terang2. Format Foto wajib DOF 3. Tidak memakai kacamata 4. Tidak memakai jas almamater 5. Wajib menggunakan busana nasional/ kebaya (bagi calon wisudawati) Terimakasih"
Akademik_Turnitin,"Terimakasih telah menghubungi halo filkom,Berikut kami kirimkan link Layanan Plagiasi Turnitin :https://filkom.ub.ac.id/layanan-fasilitas/layanan-deteksi-plagiasi/https://filkom.ub.ac.id/layanan-fasilitas/layanan-deteksi-plagiasi/ Terimakasih"
Kemahasiswaan - pengambilan KTM,"Bisa langsung datang ke ruang kemahasiswaan FILKOM UB di gedung A, ruang A1.5 pada hari dan jam kerja. Harap sebelumnya sudah mengisi form minat bakat melalui tautan berikut https://s.id/Bakat_Minat_FILKOMs.id/Bakat_Minat_FILKOM. Terima kasih"
Kemahasiswaan Pengambilan KTM,"KTM mahasiswa angkatan 2019 dan 2020 sudah bisa diambil di hari dan jam kerja di bagian kemahasiswaan FILKOM UB, gedung A ruang A1.5. Syarat pengambilan: harus sudah mengisi form Minat Bakat melalui tautan berikut https://s.ub.ac.id/1cxhttps://s.ub.ac.id/1cx. Terima kasih"
Akademik; Crisis Centre UAS Filkom 2021-1,"Terimakasih telah menghubungi halo filkom, Untuk mempercepat progres UAS (sesuai arahan ketua panitia UAS), jika ada kendala mahasiswa terkait UAS ; zoom, PIN, jaringan, dll bisa menginfokan kepada bag crisis centre pada hari ini :https://univ-awijaya.zoom.us/j/93004097036?pwd=OVlIM1R5ZmprY0hnTXVUQmppWklaUT09https://univ-awijaya.zoom.us/j/93004097036?pwd=OVlIM1R5ZmprY0hnTXVUQmppWklaUT09 Terimakasih "
Akademik Perubahan Jurnal JTIIK ke luar JTIIK,"Terimakasih telah menghubungi halo filkom,Mahasiswa bisa mengisi pada bagian sc2-17 (setelah mahasiswa upload dokumen akhir pada filkom apps) sesuai pengumuman berikut (poin no 4)https://filkom.ub.ac.id/2021/04/22/surat-edaran-dekan-tentang-publikasi-jurnal-hasil-skripsi-mahasiswa/"" target=""_blankhttps://filkom.ub.ac.id/2021/04/22/surat-edaran-dekan-tentang-publikasi-jurnal-hasil-skripsi-mahasiswa/ Terimakasih"
Keuangan - Pembayaran diluar Jadwal Registrasi,"Pembayaran diluar jadwal registrasi memerlukan konfirmasi ke Bagian Keuangan terlebih dahulu melalui halofilkom.ub.ac.id untuk kami proses pembukaan Sistem Pembayaran, Silahkan mencantumkan Rencana tanggal dan nominal pembayaran disini saat akan membayar angsuran ke 2 dan 3. Terima Kasih"
Kemahasiswaan- Surat Rekomendasi Beasiswa,Template surat keterangan dapat diunduh di https://filkom.ub.ac.id/profil/dokumen-resmi/https://filkom.ub.ac.id/profil/dokumen-resmi/ Untuk Surat Keterangan dan Rekomendasi beasiswa wajib unggah dan mengisi informasi: Surat Keterangan/Rekomendasi yang sudah diisi dan ditandatangani (dapat unduh di https://filkom.ub.ac.id/profil/dokumen-resmi/https://filkom.ub.ac.id/profil/dokumen-resmi/)Nama beasiswa yang akan diajukan Sumber informasi beasiswa (cantumkan link informasi)
